x,y,z,l
0.1,4,283115520,45504
0.2,6,1327104000,304776
0.3,7,2528870400,724073
0.4,8,5505024000,1439232
0.5,10,19818086400,3511000
0.6,10,28901376000,4211000
0.7,12,46627553280,8486208
0.7999999999999999,12,58133053440,9695808
0.8999999999999999,13,77972111360,13865267
0.9999999999999999,15,106325606400,23662125
1.0999999999999999,17,120502353920,37884143
1.2,18,147975045120,49052952
1.3,20,188743680000,72888000
1.4,21,198180864000,90859671
1.5,22,207618048000,111921128
1.5999999999999999,23,246960619520,136404237
1.7,24,257698037760,164657664
1.8,25,268435456000,197046875
1.9,25,268435456000,207984375
2.0,26,279172874240,246257336
2.0999999999999996,26,279172874240,258560536
2.1999999999999997,27,289910292480,303334713
2.3,28,300647710720,353668672
2.4,28,300647710720,369035072
2.5,29,311385128960,427075779
2.6,29,311385128960,444148079
2.6999999999999997,29,311385128960,461220379
2.8,29,311385128960,478292679
2.9,30,322122547200,548397000
3.0,30,322122547200,567297000
