x,y,z
0.1,4,283115520
0.2,6,1327104000
0.3,7,2528870400
0.4,8,5505024000
0.5,10,19818086400
0.6,10,28901376000
0.7,12,46627553280
0.7999999999999999,12,58133053440
0.8999999999999999,13,77972111360
0.9999999999999999,15,106325606400
1.0999999999999999,17,120502353920
1.2,18,147975045120
1.3,20,188743680000
1.4,21,198180864000
1.5,22,207618048000
1.5999999999999999,23,246960619520
1.7,24,257698037760
1.8,25,268435456000
1.9,25,268435456000
2.0,26,279172874240
2.0999999999999996,26,279172874240
2.1999999999999997,27,289910292480
2.3,28,300647710720
2.4,28,300647710720
2.5,29,311385128960
2.6,29,311385128960
2.6999999999999997,29,311385128960
2.8,29,311385128960
2.9,30,322122547200
3.0,30,322122547200
