x,N,epsilon_attained
0.05,1,2.121367259633189e-08
0.05,10,8.694103881268234e-09
0.05,20,4.6352699456519986e-09
0.05,30,3.1964539903839295e-09
0.05,40,2.4600942394314984e-09
0.05,50,2.0089760965902315e-09
0.05,60,1.7194913271012524e-09
0.05,70,1.5102592509919077e-09
0.05,80,1.3509351415308402e-09
0.05,90,1.2248382308399641e-09
0.05,100,1.12282305675393e-09
0.1,1,3.3558397127819717e-07
0.1,10,1.356978320821156e-07
0.1,20,7.111892963429511e-08
0.1,30,4.836713130007553e-08
0.1,40,3.6775260614518857e-08
0.1,50,2.9744968044198572e-08
0.1,60,2.5008198845100083e-08
0.1,70,2.1595351729075674e-08
0.1,80,1.902222990235458e-08
0.1,90,1.701041529855729e-08
0.1,100,1.5392176977435668e-08
0.15000000000000002,1,1.6932318817053371e-06
0.15000000000000002,10,6.836454816694371e-07
0.15000000000000002,20,3.5724511537882364e-07
0.15000000000000002,30,2.4194701631063964e-07
0.15000000000000002,40,1.8313770810962637e-07
0.15000000000000002,50,1.474386056576904e-07
0.15000000000000002,60,1.235477727901113e-07
0.15000000000000002,70,1.0647672876729075e-07
0.15000000000000002,80,9.364898356789553e-08
0.15000000000000002,90,8.369463133650612e-08
0.15000000000000002,100,7.572658122789733e-08
0.2,1,5.33366860733242e-06
0.2,10,2.152909817199067e-06
0.2,20,1.124266442276145e-06
0.2,30,7.610681301839506e-07
0.2,40,5.7555682042576e-07
0.2,50,4.6280751508920304e-07
0.2,60,3.8714331063172125e-07
0.2,70,3.325914118557094e-07
0.2,80,2.9156775893657283e-07
0.2,90,2.595245206515884e-07
0.2,100,2.3381740132943918e-07
0.25,1,1.2968635624721614e-05
0.25,10,5.233686534045212e-06
0.25,20,2.7320961024646095e-06
0.25,30,1.849272757370457e-06
0.25,40,1.3982915747501323e-06
0.25,50,1.1242883184436891e-06
0.25,60,9.401884335513699e-07
0.25,70,8.075978792376759e-07
0.25,80,7.07839457603221e-07
0.25,90,6.295319647797726e-07
0.25,100,5.667390310382103e-07
0.30000000000000004,1,2.6760869069608617e-05
0.30000000000000004,10,1.0798706149062198e-05
0.30000000000000004,20,5.635250377222789e-06
0.30000000000000004,30,3.8135425032281844e-06
0.30000000000000004,40,2.883862372904389e-06
0.30000000000000004,50,2.3186326677526736e-06
0.30000000000000004,60,1.9387151810601466e-06
0.30000000000000004,70,1.6658251187351425e-06
0.30000000000000004,80,1.4602306213085114e-06
0.30000000000000004,90,1.2995127367521064e-06
0.30000000000000004,100,1.1692581896038945e-06
0.35000000000000003,1,4.929600069758511e-05
0.35000000000000003,10,1.9891308301711597e-05
0.35000000000000003,20,1.0376975497328189e-05
0.35000000000000003,30,7.021611080126888e-06
0.35000000000000003,40,5.308032881456981e-06
0.35000000000000003,50,4.2672809246191434e-06
0.35000000000000003,60,3.570107329986527e-06
0.35000000000000003,70,3.067252474231452e-06
0.35000000000000003,80,2.688523078164806e-06
0.35000000000000003,90,2.3927842304205527e-06
0.35000000000000003,100,2.1543037600491033e-06
0.4,1,8.354799277976444e-05
0.4,10,3.3715821946223024e-05
0.4,20,1.7583343187466127e-05
0.4,30,1.189579416827069e-05
0.4,40,8.990818046283877e-06
0.4,50,7.2314283395824575e-06
0.4,60,6.044297032548052e-06
0.4,70,5.19509765140036e-06
0.4,80,4.555313595666632e-06
0.4,90,4.05219686683278e-06
0.4,100,3.650831201462701e-06
0.45,1,0.00013283982232337177
0.45,10,5.361286117055997e-05
0.45,20,2.794925423343919e-05
0.45,30,1.8905854273332245e-05
0.45,40,1.4290164511820969e-05
0.45,50,1.1489090453786766e-05
0.45,60,9.608648845027545e-06
0.45,70,8.259523519238421e-06
0.45,80,7.242561423037586e-06
0.45,90,6.4452314175733605e-06
0.45,100,5.805586589802125e-06
0.5,1,0.00020079830762553819
0.5,10,8.10525561026898e-05
0.5,20,4.224390103946263e-05
0.5,30,2.856840441434194e-05
0.5,40,2.1591182567615164e-05
0.5,50,1.7356646244581775e-05
0.5,60,1.4513617426326064e-05
0.5,70,1.24749255865364e-05
0.5,80,1.0939390316266895e-05
0.5,90,9.73369270174107e-06
0.5,100,8.775868227672845e-06
