snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,9.998124054767274504e-01
1.000000000000000056e-01,9.992495119155906380e-01
1.500000000000000222e-01,9.983109912922890627e-01
2.000000000000000111e-01,9.969963072448134733e-01
2.500000000000000000e-01,9.953047316973415715e-01
3.000000000000000444e-01,9.932353653631880164e-01
3.500000000000000333e-01,9.907871648943753495e-01
4.000000000000000222e-01,9.879589762897192928e-01
4.500000000000000111e-01,9.847495728422513972e-01
5.000000000000000000e-01,9.811576987444778908e-01
