snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.239883181275483359e-01
2.000000000000000000e+00,7.048749472040944930e-01
3.000000000000000000e+00,4.475165717965390311e-01
4.000000000000000000e+00,3.261186069230158635e-01
5.000000000000000000e+00,3.721779650380165894e-01
6.000000000000000000e+00,4.766516464876706105e-01
7.000000000000000000e+00,5.352771882636525591e-01
8.000000000000000000e+00,5.121277883371199158e-01
9.000000000000000000e+00,4.557885245309512556e-01
1.000000000000000000e+01,4.453794526125438025e-01
