snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
5.000000000000000000e-01,9.441748108342811197e-01
1.000000000000000000e+00,8.833636794067278863e-01
1.500000000000000000e+00,7.625269747996747949e-01
2.000000000000000000e+00,6.434705968632358219e-01
2.500000000000000000e+00,5.121857180913679253e-01
3.000000000000000000e+00,4.173068511467188935e-01
3.500000000000000000e+00,3.375740869564904933e-01
4.000000000000000000e+00,3.226139296635070486e-01
4.500000000000000000e+00,3.395713825121934870e-01
5.000000000000000000e+00,3.723850638549739411e-01
