x,N,epsilon_attained
0.4,1,8.356223639227611e-05
0.4,10,3.37300655587347e-05
0.4,20,1.7597586799977805e-05
0.4,30,1.1910037780782368e-05
0.4,40,9.005061658795555e-06
0.4,50,7.245671952094135e-06
0.4,60,6.058540645059729e-06
0.4,70,5.209341263912037e-06
0.4,80,4.56955720817831e-06
0.4,90,4.0664404793444575e-06
0.4,100,3.6650748139743783e-06
0.8,1,0.0012284696895864533
0.8,10,0.000497030985110003
0.8,20,0.00025865632529287197
0.8,30,0.00017484288354729927
0.8,40,0.00013212322089517503
0.8,50,0.00010621418326084431
0.8,60,8.884404060238715e-05
0.8,70,7.636435638191941e-05
0.8,80,6.697099503094606e-05
0.8,90,5.9648381302235265e-05
0.8,100,5.3805247492322295e-05
1.2000000000000002,1,0.005361352119805485
1.2000000000000002,10,0.002184103263624504
1.2000000000000002,20,0.0011321312493781654
1.2000000000000002,30,0.0007641728841880635
1.2000000000000002,40,0.0005769332053386922
1.2000000000000002,50,0.0004635589037226273
1.2000000000000002,60,0.0003875860591946445
1.2000000000000002,70,0.00033307061153475814
1.2000000000000002,80,0.0002920522032231476
1.2000000000000002,90,0.0002600985093937913
1.2000000000000002,100,0.00023448724657437747
1.6,1,0.013525546613288753
1.6,10,0.0056053361503576316
1.6,20,0.002887787213565751
1.6,30,0.0019450209571069133
1.6,40,0.0014669322972665766
1.6,50,0.0011778228585663797
1.6,60,0.0009842773795394333
1.6,70,0.000845446661119964
1.6,80,0.0007412790484717657
1.6,90,0.0006599712485449993
1.6,100,0.0005948220033817897
2.0,1,0.023829834512725356
2.0,10,0.010302993963759444
2.0,20,0.005261091326848932
2.0,30,0.0035329263849892545
2.0,40,0.002660433993604494
2.0,50,0.0021344124935018804
2.0,60,0.0017824183309017583
2.0,70,0.0015307112408460277
2.0,80,0.0013414171967303101
2.0,90,0.0011940051041511301
2.0,100,0.00107616459791815
2.4000000000000004,1,0.030607403831555358
2.4000000000000004,10,0.014730737852866604
2.4000000000000004,20,0.007430185752273499
2.4000000000000004,30,0.004969087987255039
2.4000000000000004,40,0.0037344284386919835
2.4000000000000004,50,0.0029923640162101695
2.4000000000000004,60,0.002497410418955015
2.4000000000000004,70,0.002143097124948312
2.4000000000000004,80,0.001877737618699138
2.4000000000000004,90,0.0016711787403684841
2.4000000000000004,100,0.0015056206024623986
2.8000000000000003,1,0.02564243488457918
2.8000000000000003,10,0.0168877690654331
2.8000000000000003,20,0.008374371690960336
2.8000000000000003,30,0.005569024550083845
2.8000000000000003,40,0.004174047971846229
2.8000000000000003,50,0.0033394349973613346
2.8000000000000003,60,0.002784356462252058
2.8000000000000003,70,0.0023883888941161335
2.8000000000000003,80,0.002090933182838317
2.8000000000000003,90,0.0018607130663448324
2.8000000000000003,100,0.0016766051389069392
3.2,1,0.0011548700822079927
3.2,10,0.015355039265534942
3.2,20,0.007424636235768001
3.2,30,0.004897151215305706
3.2,40,0.003656288016346654
3.2,50,0.00291896253374474
3.2,60,0.0024307145226470928
3.2,70,0.002083584315386078
3.2,80,0.0018240189063672418
3.2,90,0.0016215911988621268
3.2,100,0.0014608827933466073
3.6,1,0.046846829561252856
3.6,10,0.010063857979620505
3.6,20,0.0046388921950460404
3.6,30,0.0030129603448532105
3.6,40,0.002233918021390058
3.6,50,0.0017770953267619571
3.6,60,0.0014769878895792843
3.6,70,0.0012648068810907631
3.6,80,0.0011069016142575272
3.6,90,0.0009848807733691678
3.6,100,0.0008867974626648456
4.0,1,0.11644849683647795
4.0,10,0.002283404444555992
4.0,20,0.0007375068376173632
4.0,30,0.00041420076990011934
4.0,40,0.00028622542707668064
4.0,50,0.0002198984692227124
4.0,60,0.00017999519981121148
4.0,70,0.00015351623251369517
4.0,80,0.00013461392434793717
4.0,90,0.00012089354393696183
4.0,100,0.0001101287322116673
