snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
5.000000000000000000e-01,9.892067126979464664e-01
1.000000000000000000e+00,9.574333495120732618e-01
1.500000000000000000e+00,9.553186875340087258e-01
2.000000000000000000e+00,9.594050052720322075e-01
2.500000000000000000e+00,9.888805873304301608e-01
3.000000000000000000e+00,9.930793062110871983e-01
3.500000000000000000e+00,9.717454160786984652e-01
4.000000000000000000e+00,9.443399800987359871e-01
4.500000000000000000e+00,9.442059302380010344e-01
5.000000000000000000e+00,9.527935203827696542e-01
