snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.800010681051569694e-01
4.000000000000000222e-01,9.218467407614187037e-01
6.000000000000000888e-01,8.309239517344615411e-01
8.000000000000000444e-01,7.157469645694631843e-01
1.000000000000000000e+00,5.872263494360452363e-01
1.200000000000000178e+00,4.576090072871641934e-01
1.400000000000000133e+00,3.391539095370639245e-01
1.600000000000000089e+00,2.427074908051422009e-01
1.800000000000000044e+00,1.764153411167724284e-01
2.000000000000000000e+00,1.448129133524614365e-01
