snap_time,measurement
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,9.999699866942033388e-01
4.000000000000000222e-01,9.963678341379303971e-01
6.000000000000000888e-01,9.867413673422420484e-01
8.000000000000000444e-01,9.710333633133667597e-01
1.000000000000000000e+00,9.491833425004216895e-01
1.200000000000000178e+00,9.211830829779159568e-01
1.400000000000000133e+00,8.871443538710297450e-01
1.600000000000000089e+00,8.473689899357248478e-01
1.800000000000000044e+00,8.024094934487495667e-01
2.000000000000000000e+00,7.531082013898605654e-01
