snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.000000000000000111e-01,9.970029250928345022e-01
4.000000000000000222e-01,9.880502496182695937e-01
6.000000000000000888e-01,9.732579282716506963e-01
8.000000000000000444e-01,9.528147152113688456e-01
1.000000000000000000e+00,9.269643419316773159e-01
1.200000000000000178e+00,8.960049108328960177e-01
1.400000000000000133e+00,8.603101028112452031e-01
1.600000000000000089e+00,8.203277894553835381e-01
1.800000000000000044e+00,7.765420638262079400e-01
2.000000000000000000e+00,7.294511297849426423e-01
