snap_time,measurement
0.000000000000000000e+00,9.999999999999998890e-01
2.999999999999999889e-01,9.931681346736316307e-01
5.999999999999999778e-01,9.718296890341961980e-01
8.999999999999999112e-01,9.342263645756452295e-01
1.199999999999999956e+00,8.795988894325990071e-01
1.500000000000000000e+00,8.101204789563641873e-01
1.799999999999999822e+00,7.313894744368403256e-01
2.100000000000000089e+00,6.506877782063333893e-01
2.399999999999999911e+00,5.741380653013954394e-01
2.699999999999999734e+00,5.051633102528870767e-01
3.000000000000000000e+00,4.452854284240383431e-01
