run,indices,signs,weights,results
1,"[561, 72, 385, 467, 154, 971, 46, 739, 601, 130]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0757610361158945, 1.1576136116901334, 1.2308464587979517, 1.326162257909723, 1.4113751606671552, 1.4950911796206072, 1.5824425367288537, 1.6714829226554313, 1.7031813417186203, 1.7635357999976655]"
2,"[198, 284, 708, 432, 556, 361, 652, 969, 737, 315]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, -1.1708548348788401, -1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.078380974285206, -1.1625279447057446, -1.2432460067399578, -1.3296241732210983, -1.4215296540218803, -1.5047525798357149, -1.5850438304736056, -1.6500975578004458, -1.6864661777419623, -1.6954696317900668]"
3,"[724, 641, 53, 294, 283, 136, 209, 340, 230, 462]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.079298902431846, 1.160830079748158, 1.2428598922572112, 1.3246243092456857, 1.3972307636074606, 1.4693280334567822, 1.540933998457585, 1.6376837661921417, -1.7232818824377367, -1.7559656330619067]"
4,"[143, 217, 884, 375, 991, 192, 705, 304, 932, 771]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.079545191916728, 1.1576310877457312, 1.2448611120419155, 1.3226864573870736, 1.4100767066729063, 1.490895690115575, 1.5388312391885788, 1.5549362326138518, 1.6458509719926735, 1.737713933637513]"
5,"[431, 290, 596, 961, 430, 540, 402, 221, 42, 537]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0793021690200029, 1.1632959432291985, 1.2509315425832621, 1.334059349750453, 1.4165562387075201, 1.4983842737970972, 1.5825254458565048, 1.6798376929484986, 1.7637155217425953, 1.8692037915235542]"
6,"[196, 850, 623, 587, 838, 766, 745, 864, 579, 243]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0725977246899987, 1.1577025083217567, 1.2460454925863889, -1.3407599338050458, -1.4411178430547187, -1.5400244408540762, -1.6459846354236536, -1.7228897530792149, -1.7992870685757612, -1.8395623674995212]"
7,"[654, 510, 793, 92, 726, 735, 22, 286, 285, 618]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0788450149429234, 1.1597959471928008, 1.2447856338739351, 1.3293393998108722, 1.4198413969363477, 1.5111829251426578, 1.6097308571792481, 1.7156413349426385, 1.7952193453422434, 1.895236085975217]"
8,"[811, 889, 960, 368, 589, 489, 394, 360, 431, 887]","[1, -1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, -1.1708548348788401, -1.266935718940929, -1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0796328165082159, -1.1646101262819781, -1.2526479322161594, -1.3328286122987314, -1.4229475578802857, -1.497051308023508, -1.5607274065600445, -1.6627730586613312, -1.7497319860083373, -1.8369770837383605]"
9,"[695, 734, 72, 458, 80, 725, 333, 653, 865, 793]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0766667927023372, 1.1510962313807753, 1.2450488713104093, 1.3335147305515613, -1.4194999445033525, -1.5086792879354383, -1.5746422203418289, -1.6251403468264707, -1.7359593596796765, -1.8029328933998767]"
10,"[350, 692, 59, 749, 153, 620, 832, 979, 540, 4]","[-1, 1, 1, 1, -1, 1, 1, 1, 1, -1]","[1, -1.0820604580516013, -1.1708548348788401, -1.266935718940929, -1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, -2.200469068654355]","[1, -1.0774525929052898, -1.1110837504302822, -1.0499629146492848, -0.92648688374325, 0.8588167905169184, 0.8540890418121642, 0.917823973737846, 1.0624054474506228, 1.2210046262680898, -1.4581123591918714]"
