x,y,z,l
0.3,5,17662503444693109070176269939798642441622751487117854519943697153255469481984000000,512625
0.6,8,16965813858879712623325073976827610636220156268030858952119299799900985124454400000000000000000000000000000,4147712
0.8999999999999999,15,78776204022378807824453074626880994464721146485794176147450166517658574465096379418017792000000000000000000000000000000000000000,40840875
1.2,16,71567422552946286257169158350944243070645071203991339417561888179227498348960744923193164115712435106901866528846643200000000000000000,65949696
1.5,19,22756943606878545252865065960097960339694538749970539610540270854878415989134200044720779914416004039358934743389306880000000000000000000000000,137872759
1.8,20,129654231910192034184985441187297664550223264494103913509880287769380613078280944536100820068703114841034011443200000000000000000000000000000000000,192808000
2.0999999999999996,25,18068135928551582635436247965102534231675776963617246690169765151372777652650281532887463251016327231670412063373163704473320649870808816025600000000000,439078125
2.4,29,51470648852939526381366536497957530366164454453300653856603554631451422178452448746793770211108606124309114155880915424342979851747065856000000000000000000000,782911289
2.6999999999999997,31,209197778301055413149957506608637307996246024181859484820764626469254522454096317994851935944614711687357512111724953600000000000000000000000000000000000000000000000,1075484891
2.9999999999999996,34,46363454459383712948091946852174646642982303047656472720618894192945762958629747011335574488169717105267739751910880963048402633883648000000000000000000000000000000000000,1576129704
