x,y,z,l
1.0,12,389841558549037056000000,1418688
2.0,24,5710507882874061082066944000,22408704
3.0,38,1703558656066231890868174848000,132845112
4.0,60,121887545542173158632068848025600,695736000
5.0,94,2628943376587654386208118585425920,3339778264
6.0,135,30669354588942745965022358274048000,11861467875
7.0,165,119321696680969005832333993338470400,25250234625
8.0,211,412088239076260891982562880546406400,60318430951
9.0,266,1061854562937054235511173939200000000,135907134216
10.0,310,1898178754099033292054848339968000000,238953611000
