x,y,z
0.0,5.5,1466368000
0.1,5.0,1548288000
0.2,6.5,4659609600
0.30000000000000004,7.5,6193152000
0.4,7.5,7321681920
0.5,7.5,8092385280
0.6000000000000001,8.0,11560550400
0.7000000000000001,8.5,13872660480
0.8,9.5,26754416640
0.9,10.0,28240773120
1.0,11.0,34498150400
1.1,11.5,37580963840
1.2000000000000002,12.5,50040668160
1.3,13.0,65976401920
1.4000000000000001,13.0,68975329280
1.5,13.0,68975329280
1.6,13.0,68975329280
1.7000000000000002,13.0,71974256640
1.8,13.0,71974256640
1.9000000000000001,13.0,77972111360
2.0,13.5,91855257600
2.1,14.5,106283663360
2.2,15.0,114504499200
2.3000000000000003,15.0,123312537600
2.4000000000000004,15.5,127422955520
2.5,16.0,140928614400
2.6,16.5,155713536000
2.7,17.5,165150720000
2.8000000000000003,18.0,175531622400
2.9000000000000004,18.0,187233730560
3.0,19.0,204010946560
3.1,19.0,204010946560
3.2,20.0,214748364800
3.3000000000000003,20.5,220117073920
3.4000000000000004,21.5,230854492160
3.5,22.0,236223201280
3.6,22.0,236223201280
3.7,23.0,246960619520
3.8000000000000003,23.5,252329328640
3.9000000000000004,23.5,252329328640
4.0,25.0,268435456000
4.1000000000000005,25.0,268435456000
4.2,25.5,273804165120
4.3,26.0,279172874240
4.4,27.0,289910292480
4.5,27.5,295279001600
4.6000000000000005,28.0,300647710720
4.7,28.5,306016419840
4.800000000000001,28.5,306016419840
4.9,29.0,311385128960
