run,indices,signs,weights,results
1,"[593, 135, 759, 786, 896, 339, 830, 45, 651, 223]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9683463661515262, 0.9034993348602469, 0.8167961845385333, 0.7063816833982828, 0.5970809091052827, 0.5055015221087453, 0.43792051034369583, 0.4109906013165721, 0.39699734269502235, 0.38007625527014094]"
2,"[147, 994, 945, 549, 251, 193, 289, 327, 958, 310]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.963163616083739, 0.8901683811675057, 0.7941354528258627, 0.6896044868587135, 0.5827449352436828, 0.49223362064413373, 0.4361640090698398, 0.4034595104887871, 0.4076021568225995, 0.40216920202458734]"
3,"[993, 849, 685, 73, 294, 729, 141, 344, 118, 482]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9631513711166012, 0.8940602798517845, 0.8003662794190942, 0.6971793840375706, 0.589076000286991, 0.4977291881351001, 0.42926621648804125, 0.3855832819039287, 0.3606101741148085, 0.3626352950665273]"
4,"[705, 750, 987, 812, 772, 379, 429, 236, 185, 389]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9638901981667014, 0.896541955349088, 0.8067870166207173, 0.7075475265032832, 0.6018689824631142, 0.505597667718787, 0.42851929869540417, 0.3937492416871988, 0.38772712037328355, 0.38320772862228814]"
5,"[408, 602, 353, 821, 582, 840, 297, 17, 863, 285]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9643167400191858, 0.8916818185667414, 0.8005548273324892, 0.6998984686981624, 0.59582034528655, 0.5057922649282821, 0.4513800955400018, 0.4105098034026758, 0.3886574766266997, 0.38609989185318117]"
6,"[461, 191, 664, 829, 848, 271, 870, 797, 360, 120]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9639175496724256, 0.895669385700136, 0.7985561033994346, 0.6943020940190281, 0.5876116057062227, 0.5001225017092733, 0.4364447016353034, 0.4109077208947799, 0.39292067915111295, 0.393053816274342]"
7,"[351, 145, 966, 109, 314, 736, 888, 668, 736, 689]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9636585527373547, 0.8940729829070244, 0.8018837349631661, 0.6974034630139169, 0.5976513205708402, 0.5102746273242565, 0.43550201419378065, 0.39330851376060444, 0.3827641767294987, 0.37638746978763765]"
8,"[632, 211, 402, 26, 184, 907, 141, 354, 329, 278]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.964594762614702, 0.8952574745605633, 0.808967173305823, 0.6951226451954872, 0.5917948659252782, 0.502767428928767, 0.43605408531631007, 0.4119682529032137, 0.3937993727207681, 0.4042895163361657]"
9,"[370, 127, 839, 654, 811, 536, 233, 280, 866, 790]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.9647777523471447, 0.8929744469741991, 0.7971138258890453, 0.6866146170912677, 0.5849658847124154, 0.49120606076997464, 0.4183810764087954, 0.37428372409326816, 0.35685827744386284, 0.3670379447871109]"
10,"[407, 163, 608, 647, 952, 241, 177, 725, 527, 133]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 0.9825201967683334, 0.9653459370576843, 0.9484718800274279, 0.9318927781937794, 0.9156034757979407, 0.8995989072027624, 0.8838740953174353, 0.8684241500497196, 0.8532442667852227, 0.8383297248932695]","[1, 0.963552064524484, 0.8934287487342545, 0.8019556981133094, 0.6989060190078774, 0.5900839070021763, 0.49602482015180266, 0.42145356928542527, 0.37921289098989286, 0.35550065249355056, 0.35461129613225023]"
