run,indices,signs,weights,results
1,"[7091, 5881, 5029, 518, 506, 4089, 116, 1756, 3305, 322]","[1, -1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, -1.222055420829921, -1.350940907803127, -1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0994884518556034, -1.2031897679128967, -1.3142038060131997, -1.4469157322428565, 1.5617185035334589, 1.6617275809249805, 1.743012693519607, 1.7975044726218339, 1.8086707232948798, 1.7246343696852948]"
2,"[1525, 8917, 9745, 7670, 699, 1313, 7469, 7039, 4740, 7145]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1014834147161114, 1.2139074631514168, 1.317926663532745, 1.4507806108777517, 1.588023909221517, 1.7299692609591795, 1.830313672878008, 1.9365709196100909, 1.9122386050355897, 1.8063106665171598]"
3,"[4404, 8995, 5940, 1349, 6060, 1120, 1169, 1744, 2023, 6288]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.0856673828334877, 1.1413742773537696, 1.1210613011151087, 1.1256972774621323, 1.0991623313913845, 1.036774971021773, -1.141259079075305, -0.9038346619025883, -1.0248620871107545, -1.1439798850605554]"
4,"[3576, 6611, 3883, 3078, 6544, 9033, 9271, 7450, 9627, 3057]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.104800364243927, 1.2146888327765974, 1.3291246441527216, 1.3993703046970667, 1.4701735822719144, 1.5203968531601675, 1.620695715676934, 1.7083527611417608, 1.7552604858033494, 1.771756239718999]"
5,"[8652, 4789, 5529, 9752, 3575, 4682, 2280, 3484, 129, 4171]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.0988250694696264, 1.2005011839507358, 1.2735454693934722, 1.36170193800888, 1.449382285988814, 1.5760782078358953, 1.6318127931586084, 1.7514736274926546, 1.8036925828743031, 1.889469023555638]"
6,"[7118, 7732, 4479, 1469, 4178, 9262, 8477, 4477, 8889, 762]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.102111991860627, 1.2117020444599307, 1.3053537714613093, 1.412443556008377, 1.5224273889808064, 1.6231488744341487, 1.6352255279171217, 1.7011701820577743, 1.7609091940025665, 1.8432061430310192]"
7,"[5130, 6734, 2980, 1043, 6369, 1254, 404, 6219, 5380, 1139]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.1021484097167078, 1.2115597071300495, 1.323707205808849, -1.4520732429800485, -1.5485083831213236, -1.6237954542024773, -1.7255173282386997, -1.8429179328804492, -1.741849811860715, -1.7343182917356845]"
8,"[9406, 7697, 6390, 4429, 7724, 4890, 7771, 2072, 2739, 145]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, -1.4934194515797956, -1.6509246596017064, -1.8250413363759375, -2.017521429648058, -2.230301658356898, -2.465522999741942, -2.725552231681011]","[1, 1.099401345044377, 1.2175261302944649, 1.3375806237583994, -0.01718435508390647, -0.05568947924327638, -0.13708206235790343, -0.23190321780389242, -0.2942234158615638, -0.45079320880565316, -0.7826374165598293]"
9,"[1967, 2228, 4587, 9340, 4720, 1558, 5586, 682, 4470, 4927]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1041369760710806, 1.2122329570624495, 1.3191857036690373, 1.4188986124997707, 1.5323120769370078, 1.6238382979210244, 1.7320427561403837, 1.7865485221537145, 1.8998969511701125, 1.823043144551826]"
10,"[4703, 7254, 6799, 1715, 4879, 5662, 9448, 9461, 8051, 5361]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.1054661554429974, 1.222055420829921, 1.350940907803127, 1.4934194515797956, 1.6509246596017064, 1.8250413363759375, 2.017521429648058, 2.230301658356898, 2.465522999741942, 2.725552231681011]","[1, 1.1034494095492717, 1.2066016870339802, 1.2831029409341854, 1.391520634929903, 1.4718077070591449, 1.572886768937848, 1.6843811519351422, 1.7025945582407063, 1.8210448242201938, 1.9050312151545425]"
