run,indices,signs,results
1,"[6487, 98, 1726, 1033, 4857, 3074, 7628, 9442, 8080, 6343]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1.0, 0.9987961816679647, 0.9942888618517467, 0.9906190333498115, 0.968349129689325, 0.9537482406472166, 0.9347012625237763, 0.9263366087498618, 0.8812179727468945, 0.8259198035038358, 0.8114794141026984]"
2,"[4075, 474, 4017, 5571, 7042, 1755, 6495, 8102, 5692, 878]","[1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9963943417186373, 0.9892119529024759, 0.9801912272537756, 0.9549361234228053, 0.9432180919116953, 0.9225066320327675, 0.8569024514300957, 0.825103666903662, 0.824076446095505, 0.7482120110438595]"
3,"[379, 4740, 9725, 5870, 9680, 5466, 9979, 1670, 7367, 6292]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9898091701154403, 0.9500027619571888, 0.949161231366001, 0.9441707356343796, 0.9216547700089457, 0.8832520004278921, 0.8692436747592288, 0.7837277485158165, 0.7371591047721129, 0.7099993717281923]"
4,"[978, 3182, 8731, 8224, 9838, 8360, 9690, 5246, 2610, 6211]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1.0, 0.9981953858901433, 0.9875448331424908, 0.9735111766800484, 0.9465414912496231, 0.9318180590225782, 0.877025824367812, 0.804768329299629, 0.7160916853777942, 0.6574244975441681, 0.6346660405191967]"
5,"[7844, 5717, 6088, 4752, 773, 6113, 2582, 2924, 6837, 1768]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9856711740406492, 0.9546460918438472, 0.9302142156142019, 0.866774240457793, 0.8434679827718808, 0.7886819729441722, 0.727975576097381, 0.649566970848836, 0.6014673416952272, 0.586688661938707]"
6,"[2019, 3879, 604, 4765, 3883, 2581, 5244, 2533, 1650, 4987]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9963986448596899, 0.9874817808520293, 0.9729538170467336, 0.9631630048628985, 0.9472189222642273, 0.9353124398616837, 0.9217284960439537, 0.8989752667513997, 0.8780247951315321, 0.8437998982698839]"
7,"[8405, 7316, 1932, 6205, 4112, 122, 7620, 5647, 8864, 9923]","[-1, 1, 1, 1, 1, 1, 1, 1, -1, 1]","[1.0, 0.9964059037567181, 0.9807330974077203, 0.9703456502731356, 0.9567104911135624, 0.9443119290684382, 0.9299180528353039, 0.8997440419610789, 0.8475322824383995, 0.8101402202761001, 0.7306915577048478]"
8,"[993, 9512, 5844, 4061, 528, 7060, 4049, 980, 2597, 9097]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9987904205201587, 0.992009379368663, 0.9811108791477341, 0.936688012340214, 0.934501824726296, 0.9039701510517413, 0.8570014459082558, 0.8007976085348945, 0.7685493144816655, 0.733092237452788]"
9,"[978, 5485, 284, 3995, 4002, 2313, 1403, 1810, 1898, 2690]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9981953858901433, 0.9891698891857417, 0.9700970986269645, 0.9527394276320068, 0.9211184887673085, 0.9008650176444499, 0.881830527427447, 0.8519610861499298, 0.8102230336533931, 0.7696502676233016]"
10,"[50, 9414, 7629, 6085, 5363, 4379, 6044, 9448, 5879, 9697]","[1, 1, 1, -1, 1, 1, 1, 1, 1, 1]","[1.0, 0.9964174292796273, 0.9897070020745364, 0.9755143347580246, 0.9582973859534578, 0.9513705596483074, 0.9232709308595815, 0.8784897350253713, 0.8422457600041982, 0.8029537486253311, 0.7301093489940774]"
