x,y,z,l
0.1,3,59719680,3537
0.2,4,159252480,16064
0.30000000000000004,5,552960000,46375
0.4,7,3096576000,168413
0.5,7,1720320000,209573
0.6,7,6936330240,250733
0.7000000000000001,9,12138577920,620379
0.8,11,25433210880,1292401
0.9,11,31791513600,1452121
1.0,12,44040192000,2092608
1.1,12,48444211200,2299968
1.2000000000000002,12,53288632320,2507328
1.3000000000000003,12,58133053440,2714688
1.4000000000000001,12,66437775360,2922048
1.5000000000000002,13,71974256640,3978767
1.6,13,77972111360,4242407
1.7000000000000002,14,98650030080,5627944
1.8000000000000003,15,114504499200,7327125
1.9000000000000001,15,114504499200,7732125
2.0,15,123312537600,8137125
2.1,16,140928614400,10366976
2.2,17,160432128000,13024363
2.3000000000000003,19,179306496000,19006289
2.4000000000000004,19,179306496000,19829369
2.5000000000000004,19,179306496000,20652449
2.6,20,214748364800,25048000
2.7,20,214748364800,26008000
2.8000000000000003,21,225485783040,31218831
2.9000000000000004,21,225485783040,32330151
3.0000000000000004,22,236223201280,38449928
3.1,22,236223201280,39727688
