x,y,z
0.0,4.8,941228032
0.1,5.4,1651507200
0.2,5.6,2610954240
0.30000000000000004,6.6,4727111680
0.4,7.4,7537688576
0.5,8.2,13554155520
0.6000000000000001,8.6,17719754752
0.7000000000000001,8.8,20610809856
0.8,9.2,24699207680
0.9,10.6,32080527360
1.0,11.2,35449602048
1.1,11.8,40716730368
1.2000000000000002,12.2,51385466880
1.3,12.2,57118031872
1.4000000000000001,12.2,60809019392
1.5,12.2,64130908160
1.6,12.4,65238204416
1.7000000000000002,12.6,67452796928
1.8,12.8,73484206080
1.9000000000000001,13.0,81025564672
