x,y,z,l
1.0,10,173978877368991744000000,820000
2.0,24,4020815523963342082277376000,22394880
3.0,38,1357031077378506200407080960000,132790240
4.0,57,80811872266812158552859633254400,596321460
5.0,89,1878312462515142974642039921049600,2833975380
6.0,131,25054877244422035712653664452608000,10835798620
7.0,159,97109030995240558206189926193561600,22590595980
8.0,204,354846482875621152299200761865175040,54503642880
9.0,256,899858206544078801886826935091200000,121131499520
10.0,301,1702508475787650226243805861023580160,218712626020
