x,y,z,l
0.1,3,2910690875285119292570552297208028234398280579542126904531737201769394995200,110700
0.2,4,2549147502149339307434121450883444628219917541244878023396226541542314711449600,518400
0.30000000000000004,4,305552685323930682856886297951709971934193902118014313930123644492944009016115200,774400
0.4,5,12016849878323023660188888605989701317921038929057605352510185786035720251657682944000,2012500
0.5,6,80997802592616900927829539226459345684647273666969600000000000000000000000000000000000000000000000,4341600
0.6,8,10489063772713956192025317987124810415754167772984249728838748691648700196931500728957907501056000000000000000,12339200
0.7000000000000001,9,5887903426774284758261402533239846122318038263949064618046615506420715894561895072319200539943077150720000000000,20484900
0.8,10,61390016826246270422288228157006839320895920607447987570039663441122085952358341093185783725788655686295129109299200000,32100000
0.9,10,4113866383720584544323734445780254986435065460919123788245959234580757663373875855689148740012159668834009088000000000000,36100000
1.0,12,32844149735330149263273320148940474884186343963608612115568840569997022799556381281512221100982271370854400000000000000000000000,69292800
