x,y,z,l
0.5,7,319422003410709518115475338312745917484415803163934720000000000000000000000000000000000000000000000000,1406643
1.0,14,3837130276641929491798889510990163184614474820761432197832589206337046693677040249138577408000000000000000000000000000000000000,22229144
1.5,16,1523210049508484643674283968489739546179689449435318752147155147062459141536674951169760016148729132259288075275550261333483217276108800000,49565696
2.0,21,7792705556994170565263134902254615760373761921095665035126664669694480924948606910975081381767552428584218481483539546112000000000000000000000000000,149111361
2.5,26,84909576181303348223293458247525648641314157722393441958343277064691584688602498014653431206088610286500038875114282852561229164052480000000000000000000000000000,353295176
3.0,33,616636990821073310721593605125859838933803117924893102810722212533100533777532017783423164636144188372375853970091120469539519489578999850677043200000000000000000000000000,866117637
3.5,41,1430816451777183398501689175369122469264506860863868507124283881152576981174490231220503811265884527468268646740259400443316572468710969739314199921616899592899526656000000000000000,1936749021
4.0,52,2613963821224194930612499924765033634929850080566585847969746064452893853495022611200949569568857119987403305816705674120935292166908197490882446821166562175107767205888000000000000000000000,4513657408
4.5,63,567333430170820042813127976768443992368464882417696562976617333131840692530230504462416319153431204943621063175032675708210985739018636360079981344328399505310801439179250073600000000000000000000000,9026946747
5.0,76,1633013760469580862652167127257809510041124659526735495502865940385266624163238809725796830089446194798940199480431414056686856286440998211237823659904112054413156919901145216382402560000000000000000000000,17603376576
