x,y,z,l
1.0,10,36373183961943873945600,8021000
2.0,17,96484024327124444774400000,78711173
3.0,25,26594331415950152171520000000,375328125
4.0,38,1981632381561352686896414720000,1757056312
5.0,64,274624618315068760183621717852160,10491265024
6.0,64,349396196687905728787528820981760,12588417024
7.0,64,392971686070751114463977993666560,14685569024
8.0,64,405648192073033408478945025720320,16782721024
9.0,64,405648192073033408478945025720320,18879873024
10.0,64,405648192073033408478945025720320,20977025024
