x,y,z,l
0.2,4,1024,20800
0.4,4,1024,41280
0.6000000000000001,4,1024,61760
0.8,4,1024,82240
1.0,4,1024,102720
1.2,4,1024,123200
1.4000000000000001,4,1024,143680
1.6,4,1024,164160
1.8,4,1024,184640
2.0,4,1024,205120
2.2,4,1024,225600
2.4000000000000004,4,1024,246080
2.6000000000000005,4,1024,266560
2.8000000000000003,4,1024,287040
3.0000000000000004,4,1024,307520
3.2,4,1024,328000
3.4000000000000004,4,1024,348480
3.6000000000000005,4,1024,368960
3.8000000000000003,4,1024,389440
4.0,4,1024,409920
4.2,4,1024,430400
4.4,4,1024,450880
4.6000000000000005,4,1024,471360
4.800000000000001,4,1024,491840
5.000000000000001,4,1024,512320
5.2,4,1024,532800
5.4,4,1024,553280
5.6000000000000005,4,1024,573760
5.800000000000001,4,1024,594240
6.000000000000001,4,1024,614720
6.2,4,1024,635200
6.4,4,1024,655680
6.6000000000000005,4,1024,676160
6.800000000000001,4,1024,696640
7.000000000000001,4,1024,717120
7.2,4,1024,737600
7.4,4,1024,758080
7.6000000000000005,4,1024,778560
7.800000000000001,4,1024,799040
8.0,4,1024,819520
8.2,4,1024,840000
8.4,4,1024,860480
8.6,4,1024,880960
8.799999999999999,4,1024,901440
9.0,4,1024,921920
9.2,4,1024,942400
9.4,4,1024,962880
9.6,4,1024,983360
9.8,4,1024,1003840
10.0,4,1024,1024320
