x,y
0.0,1.000000000000000000e+00
0.1,9.984990833876525862e-01
0.2,9.939930917737322957e-01
0.3,9.864723357434468376e-01
0.4,9.759217204351005037e-01
0.5,9.623226531180986143e-01
0.6,9.456556497011350260e-01
0.7,9.259035680786100730e-01
0.8,9.030553722562753016e-01
0.9,8.771103064432614893e-01
1.0,8.480823341120085068e-01
1.1,8.160046752368048661e-01
1.2,7.809342576055486873e-01
1.3,7.429558872792891844e-01
1.4,7.021859406574169071e-01
1.5,6.587753873031574336e-01
1.6,6.129119690833344514e-01
1.7,5.648213868724885067e-01
1.8,5.147673799605612110e-01
1.9,4.630506237079465848e-01
2.0,4.100064159113687712e-01
