x,y,z
0.1,3,59719680
0.2,4,106168320
0.3,5,1638400000
0.4,6,1105920000
0.5,5,786432000
0.6,6,1474560000
0.7,8,3932160000
0.7999999999999999,9,12138577920
0.8999999999999999,8,10569646080
0.9999999999999999,10,17616076800
1.0999999999999999,11,29066526720
1.2,11,29066526720
1.3,12,31708938240
1.4,12,44040192000
1.5,12,55364812800
1.5999999999999999,12,60901294080
1.7,12,60901294080
1.8,12,66437775360
1.9,12,66437775360
2.0,13,77972111360
2.0999999999999996,14,83969966080
2.1999999999999997,14,98650030080
2.3,14,106870865920
2.4,15,114504499200
2.5,15,123312537600
2.6,15,123312537600
2.6999999999999997,16,131533373440
2.8,17,160432128000
2.9,17,160432128000
3.0,17,160432128000
3.0999999999999996,18,193273528320
3.1999999999999997,19,204010946560
3.3,20,214748364800
3.4,20,214748364800
3.5,20,214748364800
3.5999999999999996,21,225485783040
3.6999999999999997,21,225485783040
3.8,22,236223201280
3.9,23,246960619520
4.0,24,257698037760
