run,indices,signs,weights,results
1,"[2902, 6810, 3148, 5062, 7718, 5757, 6416, 7591, 6108, 2220]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0783545070384266, 1.160762361558365, 1.2410619840580523, 1.3199791761254114, 1.3999300498529297, 1.4608114437389657, 1.5456560238989547, 1.604575521923952, 1.6552296327105698, 1.7554445467235813]"
2,"[2999, 8137, 2485, 2131, 3748, 629, 5511, 8186, 5056, 1114]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0789178812711184, 1.1615931880963717, 1.244788927701006, 1.3273460027389838, 1.4091719510944833, 1.4888673261000809, 1.5613785296387788, 1.6344386959830284, 1.7145445982937046, 1.833372482776431]"
3,"[6713, 8073, 5113, 8053, 513, 5400, 5963, 6258, 1925, 7773]","[1, 1, 1, 1, 1, 1, 1, -1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0776028836994633, 1.1595267151218631, 1.232924819371942, 1.322539038009169, 1.4142884060407879, 1.5067436513196382, 1.6003070119322427, -1.7133983494059333, -1.8217188437229535, -1.896649531948338]"
4,"[5951, 8087, 3754, 7580, 1560, 7811, 4699, 515, 908, 3411]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0787446923609356, 1.1639913440280631, 1.2497336491523712, 1.3350248975436658, 1.4239566772511016, 1.5166861992239988, 1.6156834128744366, 1.751623195305338, 1.8475459374111558, 1.970284395952281]"
5,"[378, 5519, 672, 1961, 4105, 6615, 8231, 7679, 4495, 780]","[1, 1, 1, 1, 1, 1, -1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0673460334157994, 1.1360205560395666, 1.2092415409221517, 1.2837998179596832, 1.3598472591623871, 1.4297847395671393, -0.27651692959835833, -0.42764457950133317, -0.608338561313129, -0.802416936101936]"
6,"[55, 6256, 223, 4656, 7677, 101, 4491, 4619, 4331, 3098]","[1, 1, 1, 1, 1, -1, -1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, -1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0698544720879728, 1.1575568448730247, 1.2435261529052277, 1.334102718402961, 1.4231722090011025, -1.5227260351502039, 1.608203712559012, 1.7043515503817441, 1.8101998935478323, 1.935205357687295]"
7,"[2397, 2719, 5900, 1200, 4784, 5194, 2467, 2789, 4934, 453]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0759118051835406, 1.1616961159144503, 1.2441356290301346, 1.3380354620711823, 1.4328380672950825, 1.526640199970473, 1.6149935378444134, 1.6841097826835185, 1.7055517504879387, 1.7342706116998439]"
8,"[4536, 7066, 2295, 5611, 3356, 2601, 1176, 619, 3939, 15]","[1, 1, 1, 1, -1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, -1.483397812002685, -1.6051261159283667, -1.7368435002320355, -1.8793696734250234, -2.033591609674569, -2.200469068654355]","[1, 1.0795751882727815, 1.1611873845906113, 1.2381866909382335, 1.311135716367749, -1.3787126878167337, -1.453598165549632, -1.5650216638287147, -1.6671430669437015, -1.791360743467806, -1.9080800841731285]"
9,"[2597, 5599, 5919, 8079, 5162, 2550, 8089, 5736, 4348, 6834]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0788742207550197, 1.1649533534932093, 1.2525176032563745, 1.3450569202641307, 1.4256580682587896, 1.4822987217857353, 1.5272805830098823, 1.5906980280199132, 1.703992046605882, 1.8232339207659953]"
10,"[7195, 648, 6243, 3401, 4246, 2549, 1011, 5442, 5769, 7524]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1.0820604580516013, 1.1708548348788401, 1.266935718940929, 1.3709010443591547, 1.483397812002685, 1.6051261159283667, 1.7368435002320355, 1.8793696734250234, 2.033591609674569, 2.200469068654355]","[1, 1.0678097229577885, 1.140224840909235, 1.2159374131004848, 1.2907504097527234, 1.3647878625259835, 1.444833917237144, 1.5122300143900944, 1.58679666002061, 1.6167295496991736, 1.6932562572921075]"
